pathway_code,n_genes,gene_list,n_metabolites,metabolite_list,cross_omics_score,total_omics_elements,pathway_name
05208,11,"COX7A1;HIF1A;HMOX1;KEAP1;MAP3K14;MAPK1;MAPK14;NOX4;PRKD1;SAT1;SOD1",1,NA,12,12,"Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)"
05022,10,"COX7A1;IL1B;MAPK1;MAPK14;MCU;NOX4;PTGS2;SNCA;SOD1;WNT5A",1,NA,11,11,"Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)"
05200,10,"E2F1;E2F3;EDN1;HIF1A;HMOX1;IFNG;KEAP1;MAPK1;PTGS2;WNT5A",1,NA,11,11,"Pathways in cancer - Mus musculus (house mouse)"
01100,9,"ACSL4;ALOX15;CDO1;COX7A1;HMOX1;LOX;PDE4B;PTGS2;SETD7",1,NA,10,10,"Metabolic pathways - Mus musculus (house mouse)"
05167,9,"ATG3;E2F1;E2F3;HIF1A;IRF7;IRF9;MAPK1;MAPK14;PTGS2",1,NA,10,10,"Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)"
04217,8,"ALOX15;HMGB1;IFNG;IL1B;IRF9;NLRP3;SPATA2;TLR4",1,NA,9,9,"Necroptosis - Mus musculus (house mouse)"
05225,8,"BRD7;E2F1;E2F3;HMOX1;KEAP1;MAPK1;SMARCB1;WNT5A",1,NA,9,9,"Hepatocellular carcinoma - Mus musculus (house mouse)"
04066,7,"EDN1;HIF1A;HMOX1;IFNG;MAPK1;TFRC;TLR4",1,NA,8,8,"HIF-1 signaling pathway - Mus musculus (house mouse)"
04148,7,"ALOX15;HIF1A;IL6;LOX;MAPK1;MAPK14;PTGS2",1,NA,8,8,"Efferocytosis - Mus musculus (house mouse)"
05140,6,"IFNG;IL1B;MAPK1;MAPK14;PTGS2;TLR4",1,NA,7,7,"Leishmaniasis - Mus musculus (house mouse)"
04140,5,"ATG3;CTSB;HIF1A;HMGB1;MAPK1",1,NA,6,6,"Autophagy - animal - Mus musculus (house mouse)"
04216,5,"ACSL4;ALOX15;HMOX1;LPCAT3;TFRC",1,NA,6,6,"Ferroptosis - Mus musculus (house mouse)"
04933,5,"EDN1;IL1B;MAPK1;MAPK14;NOX4",1,NA,6,6,"AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)"
04936,5,"IL1B;MAP3K14;MAPK14;NOX4;TLR4",1,NA,6,6,"Alcoholic liver disease - Mus musculus (house mouse)"
04068,4,"BCL6;MAPK1;MAPK14;SETD7",1,NA,5,5,"FoxO signaling pathway - Mus musculus (house mouse)"
04071,4,"ABCC1;MAPK1;MAPK14;PPP2R2B",1,NA,5,5,"Sphingolipid signaling pathway - Mus musculus (house mouse)"
04726,4,"ALOX15;LOX;MAPK1;PTGS2",1,NA,5,5,"Serotonergic synapse - Mus musculus (house mouse)"
05014,4,"COX7A1;MAPK14;MCU;SOD1",1,NA,5,5,"Amyotrophic lateral sclerosis - Mus musculus (house mouse)"
05215,4,"E2F1;E2F3;MAPK1;ZEB1",1,NA,5,5,"Prostate cancer - Mus musculus (house mouse)"
00590,3,"ALOX15;LOX;PTGS2",1,NA,4,4,"Arachidonic acid metabolism - Mus musculus (house mouse)"
04024,3,"EDN1;MAPK1;PDE4B",1,NA,4,4,"cAMP signaling pathway - Mus musculus (house mouse)"
04210,3,"CTSB;MAP3K14;MAPK1",1,NA,4,4,"Apoptosis - Mus musculus (house mouse)"
04664,3,"LOX;MAPK1;MAPK14",1,NA,4,4,"Fc epsilon RI signaling pathway - Mus musculus (house mouse)"
04723,3,"MAPK1;MAPK14;PTGS2",1,NA,4,4,"Retrograde endocannabinoid signaling - Mus musculus (house mouse)"
04930,3,"MAPK1;SOCS1;SOCS2",1,NA,4,4,"Type II diabetes mellitus - Mus musculus (house mouse)"
05146,3,"IFNG;IL1B;TLR4",1,NA,4,4,"Amoebiasis - Mus musculus (house mouse)"
05230,3,"HIF1A;MAPK1;SLC1A5",1,NA,4,4,"Central carbon metabolism in cancer - Mus musculus (house mouse)"
04270,2,"EDN1;MAPK1",1,NA,3,3,"Vascular smooth muscle contraction - Mus musculus (house mouse)"
04611,2,"MAPK1;MAPK14",1,NA,3,3,"Platelet activation - Mus musculus (house mouse)"
04722,2,"MAPK1;MAPK14",1,NA,3,3,"Neurotrophin signaling pathway - Mus musculus (house mouse)"
04750,2,"IL1B;MAPK14",1,NA,3,3,"Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)"
04912,2,"MAPK1;MAPK14",1,NA,3,3,"GnRH signaling pathway - Mus musculus (house mouse)"
04913,2,"LOX;PTGS2",1,NA,3,3,"Ovarian steroidogenesis - Mus musculus (house mouse)"
04921,2,"MAPK1;PTGS2",1,NA,3,3,"Oxytocin signaling pathway - Mus musculus (house mouse)"
04974,2,"DPP4;SLC1A5",1,NA,3,3,"Protein digestion and absorption - Mus musculus (house mouse)"
05016,2,"COX7A1;SOD1",1,NA,3,3,"Huntington disease - Mus musculus (house mouse)"
05211,2,"HIF1A;MAPK1",1,NA,3,3,"Renal cell carcinoma - Mus musculus (house mouse)"
05231,2,"HIF1A;MAPK1",1,NA,3,3,"Choline metabolism in cancer - Mus musculus (house mouse)"
05415,2,"COX7A1;MAPK14",1,NA,3,3,"Diabetic cardiomyopathy - Mus musculus (house mouse)"
00061,1,"ACSL4",1,NA,2,2,"Fatty acid biosynthesis - Mus musculus (house mouse)"
00071,1,"ACSL4",1,NA,2,2,"Fatty acid degradation - Mus musculus (house mouse)"
00190,1,"COX7A1",1,NA,2,2,"Oxidative phosphorylation - Mus musculus (house mouse)"
00270,1,"CDO1",1,NA,2,2,"Cysteine and methionine metabolism - Mus musculus (house mouse)"
00310,1,"SETD7",1,NA,2,2,"Lysine degradation - Mus musculus (house mouse)"
00430,1,"CDO1",1,NA,2,2,"Taurine and hypotaurine metabolism - Mus musculus (house mouse)"
00564,1,"LPCAT3",1,NA,2,2,"Glycerophospholipid metabolism - Mus musculus (house mouse)"
00591,1,"ALOX15",1,NA,2,2,"Linoleic acid metabolism - Mus musculus (house mouse)"
00860,1,"HMOX1",1,NA,2,2,"Porphyrin metabolism - Mus musculus (house mouse)"
00983,1,"MPO",1,NA,2,2,"Drug metabolism - other enzymes - Mus musculus (house mouse)"
01212,1,"ACSL4",1,NA,2,2,"Fatty acid metabolism - Mus musculus (house mouse)"
02010,1,"ABCC1",1,NA,2,2,"ABC transporters - Mus musculus (house mouse)"
04072,1,"MAPK1",1,NA,2,2,"Phospholipase D signaling pathway - Mus musculus (house mouse)"
04080,1,"EDN1",1,NA,2,2,"Neuroactive ligand-receptor interaction - Mus musculus (house mouse)"
04136,1,"ATG3",1,NA,2,2,"Autophagy - other - Mus musculus (house mouse)"
04152,1,"PPP2R2B",1,NA,2,2,"AMPK signaling pathway - Mus musculus (house mouse)"
04540,1,"MAPK1",1,NA,2,2,"Gap junction - Mus musculus (house mouse)"
04666,1,"MAPK1",1,NA,2,2,"Fc gamma R-mediated phagosome formation - Mus musculus (house mouse)"
04713,1,"MAPK1",1,NA,2,2,"Circadian entrainment - Mus musculus (house mouse)"
04720,1,"MAPK1",1,NA,2,2,"Long-term potentiation - Mus musculus (house mouse)"
04724,1,"MAPK1",1,NA,2,2,"Glutamatergic synapse - Mus musculus (house mouse)"
04725,1,"MAPK1",1,NA,2,2,"Cholinergic synapse - Mus musculus (house mouse)"
04730,1,"MAPK1",1,NA,2,2,"Long-term depression - Mus musculus (house mouse)"
04918,1,"DUOX1",1,NA,2,2,"Thyroid hormone synthesis - Mus musculus (house mouse)"
04920,1,"ACSL4",1,NA,2,2,"Adipocytokine signaling pathway - Mus musculus (house mouse)"
04923,1,"PTGS2",1,NA,2,2,"Regulation of lipolysis in adipocytes - Mus musculus (house mouse)"
04925,1,"PRKD1",1,NA,2,2,"Aldosterone synthesis and secretion - Mus musculus (house mouse)"
04977,1,"ABCC1",1,NA,2,2,"Vitamin digestion and absorption - Mus musculus (house mouse)"
04981,1,"ABCC1",1,NA,2,2,"Folate transport and metabolism - Mus musculus (house mouse)"
05017,1,"MCU",1,NA,2,2,"Spinocerebellar ataxia - Mus musculus (house mouse)"
05034,1,"MAPK1",1,NA,2,2,"Alcoholism - Mus musculus (house mouse)"